Revolt;Participants;Year;Monarchy;Synopsis;Country;freq
Cochabamba rebellion 1730;Settlers/Colonists;1730;Spanish;Having started in Cochabamba, the rebellion would quickly spread throughout the whole province of Oruro. Led by the mestizo Alejo Calatayud, it explodes when the viceroy of Peru, the Marquis of Castelfuerte, orders a new population census in order to include the mestizos (mixed-race people) in the category of taxpayers, given that much of the Indian population pretended to be mestizo not to pay taxes. The rebels also claimed for a reduced quota of the Indians to be included in the ‘mita’. The priests and friars also supported the rebellion, adding to its goals the opposition to the new forced distribution of goods, another measure promoted by the viceroy that affected both the Indians and the mestizos. As the corregidor was involved in both measures, the rebellion was firstly directed against this crown official, typically someone sent from Spain and hated by the native population. The Creoles then joined the rebellion, adding the claim that henceforth the corregidor and the members of the municipal council should be Creoles, having achieved this objective after murdering and replacing the Spaniards who then held these offices. Paradoxically, once the goal was achieved, the new Creole mayor ordered the city's troops to suppress the rebellion, and Calatayud and the other mixed-race leaders were hanged.;Bolivia;1
Comuneros of Merida insurrection 1781;Local elites;1781;Spanish;La oleada insurreccional de los Comuneros del Socorro (Nueva Granada) irradió su influencia a la Capitanía General de Venezuela. Las causas principales de la sublevación fueron el rechazo al Estanco del Tabaco y otros impuestos. El inicio de la revuelta se produjo en julio de 1781 cuando los ejércitos rebeldes entraron en Mérida siendo recibidos con simpatía por los vecinos de dicha ciudad. Luego de prender al administrador de la Real Hacienda, ordenaron el cumplimiento de las mismas capitulaciones que el día 7 de junio habían presentado en Zipaquirá al Obispo de Santa Fe. Establecían reivindicaciones económicas, sociales y políticas y aclamaron la constitución de un gobierno rebelde. Mérida se convirtió así en el epicentro de la rebelión más importante acaecida en la región, cuya expresión política y militar se materializó en la conformación de una capitanía y gobierno provincial surgido del “Común” de dicha localidad. Los protagonistas pretendían que muera el mal gobierno y se eliminaran los pechos nuevamente impuestos. No obstante, en ningún momento de su desarrollo, la rebelión alcanzó los niveles de violencia experimentados en el Perú y la Nueva Granada, como tampoco puso en tela de juicio la tradicional lealtad de los súbditos al monarca.;Venezuela;1
Comuneros of Merida insurrection 1781;Settlers/Colonists;1781;Spanish;La oleada insurreccional de los Comuneros del Socorro (Nueva Granada) irradió su influencia a la Capitanía General de Venezuela. Las causas principales de la sublevación fueron el rechazo al Estanco del Tabaco y otros impuestos. El inicio de la revuelta se produjo en julio de 1781 cuando los ejércitos rebeldes entraron en Mérida siendo recibidos con simpatía por los vecinos de dicha ciudad. Luego de prender al administrador de la Real Hacienda, ordenaron el cumplimiento de las mismas capitulaciones que el día 7 de junio habían presentado en Zipaquirá al Obispo de Santa Fe. Establecían reivindicaciones económicas, sociales y políticas y aclamaron la constitución de un gobierno rebelde. Mérida se convirtió así en el epicentro de la rebelión más importante acaecida en la región, cuya expresión política y militar se materializó en la conformación de una capitanía y gobierno provincial surgido del “Común” de dicha localidad. Los protagonistas pretendían que muera el mal gobierno y se eliminaran los pechos nuevamente impuestos. No obstante, en ningún momento de su desarrollo, la rebelión alcanzó los niveles de violencia experimentados en el Perú y la Nueva Granada, como tampoco puso en tela de juicio la tradicional lealtad de los súbditos al monarca.;Venezuela;1
Cotabambas rebellion 1730;Indigenous;1730;Peru;The rebellion encompassed the towns of Chacaro, Mara and Tambobamba, in the Cotabambas district. It took place in a context of declining mining production in the Viceroyalty of Peru. To revitalize it, Viceroy Marquis of Castelfuerte launched a new general census with the aim of increasing the indigenous mining ‘mita’ and the collection of taxes. The Indians started the uprising by killing the corregidor, Juan José Fandiño, who had imprisoned many Indians for tax debts and was accused of extortion in the process of forced distribution of goods. In addition, the quota of ‘mita’ Indians that Cotabambas sent to the Huancavelica mines had been doubled shortly before. Although the leaders of the rebellion were mestizos, they received the support of members of the Indian council, of the tributaries, and of those covered by the ‘mita’ system. After a few months, the rebellion was controlled and harshly repressed. The Indians involved were sentenced to death, quartered and their remains were sent to the towns from which they originated and left on display for several months.;Spanish;1
Cuzco rebellion 1814;Local elites;1814;Spanish;La rebelión estalló en Cusco y reunió a indios y criollos en la demanda común de que se aplicaran las reformas liberales de la constitución de Cádiz de 1812. Las cortes españolas habían suprimido la mita, el tributo indio y el servicio personal. Los criollos aspiraban a reformas en general nacidas de la aplicación de los principios liberales (sobre todo el de la igualdad) de la constitución de Cádiz y querían más participación en el gobierno. La rebelión detonó porque el ayuntamiento de Cusco postergaba la promulgación de la constitución gaditana y obstaculizaba la elección de un diputado a las cortes ordinarias. Los hermanos José, Vicente y Mariano Angulo, criollos, declararon la independencia de la Monarquía española y se aliaron con el cacique Mateo Pumacahua, formando una junta presidida por este último, que sumó a la rebelión la idea de crear un imperio inca autónomo desde Cusco. Enviaron expediciones militares a Huamanga, Arequipa, Puno y La Paz para incorporar estas ciudades a la causa independentista. Las tropas virreinales controlaron la rebelión y, finalmente, los hermanos Angulo y Mateo Pumacahua fueron ejecutados.;Peru;1
Cuzco rebellion 1814;Indigenous;1814;Spanish;La rebelión estalló en Cusco y reunió a indios y criollos en la demanda común de que se aplicaran las reformas liberales de la constitución de Cádiz de 1812. Las cortes españolas habían suprimido la mita, el tributo indio y el servicio personal. Los criollos aspiraban a reformas en general nacidas de la aplicación de los principios liberales (sobre todo el de la igualdad) de la constitución de Cádiz y querían más participación en el gobierno. La rebelión detonó porque el ayuntamiento de Cusco postergaba la promulgación de la constitución gaditana y obstaculizaba la elección de un diputado a las cortes ordinarias. Los hermanos José, Vicente y Mariano Angulo, criollos, declararon la independencia de la Monarquía española y se aliaron con el cacique Mateo Pumacahua, formando una junta presidida por este último, que sumó a la rebelión la idea de crear un imperio inca autónomo desde Cusco. Enviaron expediciones militares a Huamanga, Arequipa, Puno y La Paz para incorporar estas ciudades a la causa independentista. Las tropas virreinales controlaron la rebelión y, finalmente, los hermanos Angulo y Mateo Pumacahua fueron ejecutados.;Peru;1
Enslaved Amerindians uprisings in S. Paulo 1652;Enslaved;1652;Portuguese;"During the 1650s, a series of indigenous revolts erupted in the region of São Paulo, an area of agricultural occupation at the southern border of Portuguese America. The revolts were a direct reaction of the local enslaved indigenous population (as well as Indians subjected to the ""administrações particulares"" regime) against the escalation of compulsory labour brought about by the agricultural and technological development in the area, which at that time was at its height. In 1652, the indigenous workers employed in the private properties of Antônio Pedroso de Barros and João Sutil rebelled against their masters. In 1658, the village of São Paulo was sieged by indigenous assaults and murders. In 1660, approximately a dozen other farms were subjected to insurrections. On all occasions, the pattern of indigenous action was the killing of landlords, burning of houses and crops, looting, and subsequent escape into the woods. The only exception was the destruction of a farm, presumably carried out by external Indians and ordered by a neighboring landowner interested in the booty. In sum, the revolts were triggered by an alliance between Guaranis and Guayanás, who were either former or newly incorporated workers in productive units.";Brazil;1
Enslaved Amerindians uprisings in S. Paulo 1652;Workers;1652;Portuguese;"During the 1650s, a series of indigenous revolts erupted in the region of São Paulo, an area of agricultural occupation at the southern border of Portuguese America. The revolts were a direct reaction of the local enslaved indigenous population (as well as Indians subjected to the ""administrações particulares"" regime) against the escalation of compulsory labour brought about by the agricultural and technological development in the area, which at that time was at its height. In 1652, the indigenous workers employed in the private properties of Antônio Pedroso de Barros and João Sutil rebelled against their masters. In 1658, the village of São Paulo was sieged by indigenous assaults and murders. In 1660, approximately a dozen other farms were subjected to insurrections. On all occasions, the pattern of indigenous action was the killing of landlords, burning of houses and crops, looting, and subsequent escape into the woods. The only exception was the destruction of a farm, presumably carried out by external Indians and ordered by a neighboring landowner interested in the booty. In sum, the revolts were triggered by an alliance between Guaranis and Guayanás, who were either former or newly incorporated workers in productive units.";Brazil;1
Enslaved Amerindians uprisings in S. Paulo 1652;Indigenous;1652;Portuguese;"During the 1650s, a series of indigenous revolts erupted in the region of São Paulo, an area of agricultural occupation at the southern border of Portuguese America. The revolts were a direct reaction of the local enslaved indigenous population (as well as Indians subjected to the ""administrações particulares"" regime) against the escalation of compulsory labour brought about by the agricultural and technological development in the area, which at that time was at its height. In 1652, the indigenous workers employed in the private properties of Antônio Pedroso de Barros and João Sutil rebelled against their masters. In 1658, the village of São Paulo was sieged by indigenous assaults and murders. In 1660, approximately a dozen other farms were subjected to insurrections. On all occasions, the pattern of indigenous action was the killing of landlords, burning of houses and crops, looting, and subsequent escape into the woods. The only exception was the destruction of a farm, presumably carried out by external Indians and ordered by a neighboring landowner interested in the booty. In sum, the revolts were triggered by an alliance between Guaranis and Guayanás, who were either former or newly incorporated workers in productive units.";Brazil;1
Germanias revolt Mallorca 1521-1523;Artisans;1521;Spanish;"Since the 15th century, Mallorcan towns and villages had been heavily indebted to the crown, which led to serious fiscal problems for the island's population. Taxation mainly affected the artisan sectors of the City of Mallorca and the peasants of the Part Forana, the territories that did not belong to the City. During the reign of Ferdinand the Catholic, measures were approved to mitigate the effects of the tax pressure, but the arrival of Charles V to the throne paralysed their implementation. In 1519, the year in which Charles V became the Holy Roman emperor, the Germanias of Valencia broke out, followed by the Comuneros revolt in Castile in 1520. To prevent popular discontent from triggering a similar revolt in the Kingdom of Mallorca, on 6 February 1521 seven artisans were arrested on charges of conspiracy. That event was the trigger for the brotherhoods revolt (named “germanias” in Castilian and “germanies” in Catalan) in Mallorca. As in Valencia, a Junta de los Trece was created, a body outside the royal power that represented the guilds of the City of Mallorca. Shortly afterwards, taxes on meat, wine and salt were abolished and slaves were freed. These measures positioned the lower Mallorcan nobility, the main censualists of the kingdom, against the germanias. The war ended with the fall of the City of Mallorca in 1523 at the hands of royalist troops. During that and the following year, dozens of ""agermanats"" were executed.";Spain;1
Germanias revolt Mallorca 1521-1523;Local elites;1521;Spanish;"Since the 15th century, Mallorcan towns and villages had been heavily indebted to the crown, which led to serious fiscal problems for the island's population. Taxation mainly affected the artisan sectors of the City of Mallorca and the peasants of the Part Forana, the territories that did not belong to the City. During the reign of Ferdinand the Catholic, measures were approved to mitigate the effects of the tax pressure, but the arrival of Charles V to the throne paralysed their implementation. In 1519, the year in which Charles V became the Holy Roman emperor, the Germanias of Valencia broke out, followed by the Comuneros revolt in Castile in 1520. To prevent popular discontent from triggering a similar revolt in the Kingdom of Mallorca, on 6 February 1521 seven artisans were arrested on charges of conspiracy. That event was the trigger for the brotherhoods revolt (named “germanias” in Castilian and “germanies” in Catalan) in Mallorca. As in Valencia, a Junta de los Trece was created, a body outside the royal power that represented the guilds of the City of Mallorca. Shortly afterwards, taxes on meat, wine and salt were abolished and slaves were freed. These measures positioned the lower Mallorcan nobility, the main censualists of the kingdom, against the germanias. The war ended with the fall of the City of Mallorca in 1523 at the hands of royalist troops. During that and the following year, dozens of ""agermanats"" were executed.";Spain;1
Germanias revolt Mallorca 1521-1523;Peasants;1521;Spanish;"Since the 15th century, Mallorcan towns and villages had been heavily indebted to the crown, which led to serious fiscal problems for the island's population. Taxation mainly affected the artisan sectors of the City of Mallorca and the peasants of the Part Forana, the territories that did not belong to the City. During the reign of Ferdinand the Catholic, measures were approved to mitigate the effects of the tax pressure, but the arrival of Charles V to the throne paralysed their implementation. In 1519, the year in which Charles V became the Holy Roman emperor, the Germanias of Valencia broke out, followed by the Comuneros revolt in Castile in 1520. To prevent popular discontent from triggering a similar revolt in the Kingdom of Mallorca, on 6 February 1521 seven artisans were arrested on charges of conspiracy. That event was the trigger for the brotherhoods revolt (named “germanias” in Castilian and “germanies” in Catalan) in Mallorca. As in Valencia, a Junta de los Trece was created, a body outside the royal power that represented the guilds of the City of Mallorca. Shortly afterwards, taxes on meat, wine and salt were abolished and slaves were freed. These measures positioned the lower Mallorcan nobility, the main censualists of the kingdom, against the germanias. The war ended with the fall of the City of Mallorca in 1523 at the hands of royalist troops. During that and the following year, dozens of ""agermanats"" were executed.";Spain;1
Germanias revolt Valencia 1519-1522;Artisans;1519;Spanish;In 1519 the brotherhoods (“germanías”) took over the city of Valencia. Several factors led to this situation: in the long run, the great plagues of the 14th and 15th centuries had caused demographic, commercial and administrative unbalances, as well as an increasing religious hatred against Muslims. During this period tensions between the bourgeoisie and the noblemen grew significantly. Even though the 15th century had been a prosperous one, in 1519 a new plague outbreak hindered food supply in the populous city of Valencia. Meanwhile, both the king and the noblemen were absent: the latter had fled away, thus causing a void of power that was to be occupied by the guilds. Thus one day, Joan Llorenç proposed the so-called Junta de los Trece (Council of Thirteenth) to rule the guilds without the intervention of the king nor of the noblemen. After all, they had been granted the right to carry weapons to defend the coast from the constant threat of Muslim pirates and corsairs and could therefore govern the city. The noblemen protested, and the Valencian society split up in two sides. As the revolt expanded out of the limits of the city and reached the fields, violence spread. The conflict left numerous casualties in battlefield and forced the migration of Muslims, who very often became the target of such violence as noblemen had fled. After their defeat, many rebels were fined, executed and/or dispossessed of their belongings.;Spain;1
Germanias revolt Valencia 1519-1522;Local elites;1519;Spanish;In 1519 the brotherhoods (“germanías”) took over the city of Valencia. Several factors led to this situation: in the long run, the great plagues of the 14th and 15th centuries had caused demographic, commercial and administrative unbalances, as well as an increasing religious hatred against Muslims. During this period tensions between the bourgeoisie and the noblemen grew significantly. Even though the 15th century had been a prosperous one, in 1519 a new plague outbreak hindered food supply in the populous city of Valencia. Meanwhile, both the king and the noblemen were absent: the latter had fled away, thus causing a void of power that was to be occupied by the guilds. Thus one day, Joan Llorenç proposed the so-called Junta de los Trece (Council of Thirteenth) to rule the guilds without the intervention of the king nor of the noblemen. After all, they had been granted the right to carry weapons to defend the coast from the constant threat of Muslim pirates and corsairs and could therefore govern the city. The noblemen protested, and the Valencian society split up in two sides. As the revolt expanded out of the limits of the city and reached the fields, violence spread. The conflict left numerous casualties in battlefield and forced the migration of Muslims, who very often became the target of such violence as noblemen had fled. After their defeat, many rebels were fined, executed and/or dispossessed of their belongings.;Spain;1
Germanias revolt Valencia 1519-1522;Peasants;1519;Spanish;In 1519 the brotherhoods (“germanías”) took over the city of Valencia. Several factors led to this situation: in the long run, the great plagues of the 14th and 15th centuries had caused demographic, commercial and administrative unbalances, as well as an increasing religious hatred against Muslims. During this period tensions between the bourgeoisie and the noblemen grew significantly. Even though the 15th century had been a prosperous one, in 1519 a new plague outbreak hindered food supply in the populous city of Valencia. Meanwhile, both the king and the noblemen were absent: the latter had fled away, thus causing a void of power that was to be occupied by the guilds. Thus one day, Joan Llorenç proposed the so-called Junta de los Trece (Council of Thirteenth) to rule the guilds without the intervention of the king nor of the noblemen. After all, they had been granted the right to carry weapons to defend the coast from the constant threat of Muslim pirates and corsairs and could therefore govern the city. The noblemen protested, and the Valencian society split up in two sides. As the revolt expanded out of the limits of the city and reached the fields, violence spread. The conflict left numerous casualties in battlefield and forced the migration of Muslims, who very often became the target of such violence as noblemen had fled. After their defeat, many rebels were fined, executed and/or dispossessed of their belongings.;Spain;1
Guarani war 1754-1756;Clergymen;1754;Portuguese;Os conflitos na região do rio da Prata entre as duas coroas ibéricas remontam ao século XVII e envolvem sucessivas incursões dos sertanistas paulistas sobre as missões situadas em território espanhol (1628-1641). A fundação da Colônia do Sacramento pelos portugueses (1680), em região reclamada pela Espanha, aumentou a tensão na região. O Tratado de Madrid (1750) buscou dar um fim à questão, determinando que Portugal cedesse Sacramento para receber, em troca, uma expressiva porção territorial localizada na margem leste do rio Uruguai, que abrigava sete das cerca de trinta missões jesuíticas existentes na região. Os guaranis tiveram que optar entre se submeter à coroa portuguesa ou abandonar as povoações, deslocando-se para o outro lado da demarcação. A sua recusa em aceitar os termos do tratado transformou-se em um dos maiores levantes indígenas da história do continente. As comissões de demarcação portuguesa e espanhola precisaram unir forças para debelar a resistência. Em desvantagem, os guaranis, apoiados pelos jesuítas, adotaram estratégias de guerrilha visando conter o avanço sobre o seu território. Em fevereiro de 1756 os europeus venceram a batalha decisiva de Caiboaté, vitimando cerca de 1.500 indígenas. Em maio, as tropas luso-castelhanas avançaram triunfantes sobre a redução de São Miguel, decretando o fim da guerra. A rebelião teve vários líderes, mas a documentação coeva e a memória construída em torno do conflito destacam Sepé Tiaraju, morto na batalha de Caiboaté.;Brazil;1
Guarani war 1754-1756;Indigenous;1754;Portuguese;Os conflitos na região do rio da Prata entre as duas coroas ibéricas remontam ao século XVII e envolvem sucessivas incursões dos sertanistas paulistas sobre as missões situadas em território espanhol (1628-1641). A fundação da Colônia do Sacramento pelos portugueses (1680), em região reclamada pela Espanha, aumentou a tensão na região. O Tratado de Madrid (1750) buscou dar um fim à questão, determinando que Portugal cedesse Sacramento para receber, em troca, uma expressiva porção territorial localizada na margem leste do rio Uruguai, que abrigava sete das cerca de trinta missões jesuíticas existentes na região. Os guaranis tiveram que optar entre se submeter à coroa portuguesa ou abandonar as povoações, deslocando-se para o outro lado da demarcação. A sua recusa em aceitar os termos do tratado transformou-se em um dos maiores levantes indígenas da história do continente. As comissões de demarcação portuguesa e espanhola precisaram unir forças para debelar a resistência. Em desvantagem, os guaranis, apoiados pelos jesuítas, adotaram estratégias de guerrilha visando conter o avanço sobre o seu território. Em fevereiro de 1756 os europeus venceram a batalha decisiva de Caiboaté, vitimando cerca de 1.500 indígenas. Em maio, as tropas luso-castelhanas avançaram triunfantes sobre a redução de São Miguel, decretando o fim da guerra. A rebelião teve vários líderes, mas a documentação coeva e a memória construída em torno do conflito destacam Sepé Tiaraju, morto na batalha de Caiboaté.;Brazil;1
Indigenous uprising in Bahia 1555;Indigenous;1555;Portuguese;No dia 26 de maio de 1555 os moradores da cidade de Salvador foram surpreendidos por um levante indígena que se iniciou com o ataque ao engenho de Antônio Cardoso e se espalhou pela região de Itapuã, concentrando-se em uma aldeia localizada a meio caminho da cidade. Os revoltosos capturaram alguns escravos dos portugueses (provavelmente “negros da terra”, i.e. indígenas) e bastante gado. O levante irrompeu de forma súbita, entre indígenas considerados pacificados pelos portugueses, representando uma verdadeira ameaça à capital da colônia. A reação teve início no mesmo dia sob o comando de Álvaro da Costa, filho do governador geral Duarte da Costa, que agiu com celeridade e violência. Outras aldeias localizadas no entorno aderiram ao levante e a guerra ganhou força, prolongando-se por mais cinco dias. Os conflitos mobilizaram acima de 200 soldados pelo lado português e resultaram na morte de muitos indígenas. Pelo menos 10 aldeias tupinambás situadas no entorno da cidade foram incendiadas como forma de punição e prevenção contra novos levantes.;Brazil;1
